"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)";"Verkeer en vervoer/Treinstations/Afstand tot treinstations totaal (km)";"Verkeer en vervoer/Treinstations/Afstand tot belangrijk overstapstation (km)"
"Poortugaal Zuid";"Albrandswaard                           ";"Buurt     ";"BU06130311";"1";1;11,1;12,2
"Polder Albrandswaard";"Albrandswaard                           ";"Buurt     ";"BU06130312";"1";1,7;11,7;12,9
"Kijvelanden";"Albrandswaard                           ";"Buurt     ";"BU06130313";"1";1,4;10,5;11,6
"Wijk 04 Rhoon-Zuid";"Albrandswaard                           ";"Wijk      ";"WK061304  ";"1";0,9;9,3;10,5
"Rhoon-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130414";"1";0,5;9,5;10,7
"Ghijseland";"Albrandswaard                           ";"Buurt     ";"BU06130415";"1";0,9;9;10,2
"Overhoeken";"Albrandswaard                           ";"Buurt     ";"BU06130416";"1";0,7;8,6;9,9
"Park Rhoon";"Albrandswaard                           ";"Buurt     ";"BU06130417";"1";0,7;9,5;10,7
"Rhoon-Zuidoost";"Albrandswaard                           ";"Buurt     ";"BU06130418";"1";1,2;9,2;10,4
"Tijsjesdijk";"Albrandswaard                           ";"Buurt     ";"BU06130419";"1";1,1;9,7;10,9
"Buitengebied Rhoon-Zuid";"Albrandswaard                           ";"Buurt     ";"BU06130420";"1";1,2;9,1;10,2
"Wijk 05 Buitengebied Albrandswaard";"Albrandswaard                           ";"Wijk      ";"WK061305  ";"1";2,6;8,3;11,5
"Portland-Koedoodzone";"Albrandswaard                           ";"Buurt     ";"BU06130521";"1";3,8;7,5;12,1
"Buitengebied";"Albrandswaard                           ";"Buurt     ";"BU06130522";"1";2,5;8,3;11,4
"Wijk 06 Portland";"Albrandswaard                           ";"Wijk      ";"WK061306  ";"1";3,4;6,4;9,8
"Driehoek";"Albrandswaard                           ";"Buurt     ";"BU06130623";"1";3,5;6,3;9,4
"Portland-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130624";"1";3,6;6,4;9,5
"Wijkpark Portland";"Albrandswaard                           ";"Buurt     ";"BU06130625";"1";3,6;6,3;10
"De Eilanden";"Albrandswaard                           ";"Buurt     ";"BU06130626";"1";3,1;6,4;10,2
"Wijk 07 Rotterdam-Albrandswaard";"Albrandswaard                           ";"Wijk      ";"WK061307  ";"1";;;
"Distripark";"Albrandswaard                           ";"Buurt     ";"BU06130706";"1";;;
"Alkmaar";"Alkmaar                                 ";"Gemeente  ";"GM0361    ";"1";1,2;3,1;4,1
"Zuid";"Alkmaar                                 ";"Wijk      ";"WK036101  ";"1";1;1,9;1,9
"Kooimeer";"Alkmaar                                 ";"Buurt     ";"BU03610100";"1";0,5;2,8;2,8
"Dillenburg en Stadhouderskwartier";"Alkmaar                                 ";"Buurt     ";"BU03610101";"1";0,9;2,4;2,4
"Staatsliedenkwartier en Landstraten";"Alkmaar                                 ";"Buurt     ";"BU03610102";"1";1,4;2;2
"Oud-Rochdale";"Alkmaar                                 ";"Buurt     ";"BU03610103";"1";1,2;2,1;2,1
"Emmakwartier";"Alkmaar                                 ";"Buurt     ";"BU03610104";"1";1,4;1,7;1,7
