"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)"
"Wijk 14 Follega";"De Fryske Marren                        ";"Wijk      ";"WK194014  ";"1";4,2;0;0;3,8;4,2;0;0;6,1;5,2;0,5;1;3,6
"Follega";"De Fryske Marren                        ";"Buurt     ";"BU19401401";"1";4,2;0;0;3,8;4,2;0;0;6,1;5,2;0,5;1;3,6
"Wijk 15 Goingarijp";"De Fryske Marren                        ";"Wijk      ";"WK194015  ";"1";3,6;0;0;1,1;6,3;0;0;0;6,6;0;1;4
"Goingarijp";"De Fryske Marren                        ";"Buurt     ";"BU19401501";"1";3,6;0;0;1,1;6,3;0;0;0;6,6;0;1;4
"Wijk 16 Harich";"De Fryske Marren                        ";"Wijk      ";"WK194016  ";"1";2,3;0,2;1,8;2,7;2,6;0,1;3,5;5,6;2,6;0,9;1;2,6
"Harich";"De Fryske Marren                        ";"Buurt     ";"BU19401601";"1";2,3;0,2;1,8;2,7;2,6;0,1;3,5;5,6;2,6;0,9;1;2,6
"Wijk 17 Haskerhorne";"De Fryske Marren                        ";"Wijk      ";"WK194017  ";"1";2,1;0;3,2;8;2,1;0;4,4;15;3,3;1;2;5,8
"Haskerhorne";"De Fryske Marren                        ";"Buurt     ";"BU19401701";"1";2,1;0;3,2;8;2,1;0;4,4;15;3,3;1;2;5,8
"Wijk 18 Idskenhuizen";"De Fryske Marren                        ";"Wijk      ";"WK194018  ";"1";3,2;0;0,2;1,4;3,1;0;0,5;3,8;9,4;0;1;5
"Idskenhuizen";"De Fryske Marren                        ";"Buurt     ";"BU19401801";"1";3,2;0;0,2;1,4;3,1;0;0,5;3,8;9,4;0;1;5
"Wijk 19 Joure";"De Fryske Marren                        ";"Wijk      ";"WK194019  ";"1";0,8;2,6;6,9;7;0,8;4,9;13,8;14;1,3;1;1,2;4,7
"Joure, Blaauwhof";"De Fryske Marren                        ";"Buurt     ";"BU19401901";"1";0,5;4,4;7;7;0,5;10,7;14;14;0,6;1;1;5
"Joure, Buitengebied";"De Fryske Marren                        ";"Buurt     ";"BU19401902";"1";3,4;0;1,1;5,4;3,7;0;2;10,9;4;0,8;1,4;4,3
"Joure, Centrum";"De Fryske Marren                        ";"Buurt     ";"BU19401903";"1";0,4;4,2;7;7;0,5;8,6;14;14;0,7;1;1;4,8
"Joure, Jonkersland";"De Fryske Marren                        ";"Buurt     ";"BU19401904";"1";0,6;3;7;7;0,6;7,7;14;14;0,8;1;1;4,6
"Joure, Sewei/De Ekers";"De Fryske Marren                        ";"Buurt     ";"BU19401905";"1";0,9;0,6;7;7,4;0,9;0,6;14;14,4;2;1;2;4,1
"Joure, Skipsleat";"De Fryske Marren                        ";"Buurt     ";"BU19401906";"1";1,3;0,2;7;7;1,5;0,1;14;14;1,9;1;1;4,6
"Joure, Westermeer";"De Fryske Marren                        ";"Buurt     ";"BU19401907";"1";0,5;2,9;7;7;0,6;3,9;14;14;1,3;1;1,3;4,3
"Joure, Woudfennen";"De Fryske Marren                        ";"Buurt     ";"BU19401908";"1";1,8;0;5,9;7;1,8;0;12;14;2,1;1;1;4,8
"Joure, Wyldehoarne";"De Fryske Marren                        ";"Buurt     ";"BU19401909";"1";1,8;0;6,5;7;1,8;0;12,7;14;2,7;1;1,3;4,1
"Joure, Zuiderveld";"De Fryske Marren                        ";"Buurt     ";"BU19401910";"1";0,5;2,8;7;7;0,4;3,8;14;14;1,3;1;1,4;5
"Wijk 20 Kolderwolde";"De Fryske Marren                        ";"Wijk      ";"WK194020  ";"1";5,1;0;0;0,4;5;0;0;1,1;7,3;0;1;2
"Kolderwolde";"De Fryske Marren                        ";"Buurt     ";"BU19402001";"1";5,1;0;0;0,4;5;0;0;1,1;7,3;0;1;2
"Wijk 21 Langweer";"De Fryske Marren                        ";"Wijk      ";"WK194021  ";"1";0,5;1;1;1;0,5;1,9;2;2,1;9;0;1;5
"Langweer";"De Fryske Marren                        ";"Buurt     ";"BU19402101";"1";0,5;1;1;1;0,5;1,9;2;2,1;9;0;1;5
"Wijk 22 Legemeer";"De Fryske Marren                        ";"Wijk      ";"WK194022  ";"1";3,1;0;0,1;2;3,1;0;0,3;5;8,6;0;1;5
"Legemeer";"De Fryske Marren                        ";"Buurt     ";"BU19402201";"1";3,1;0;0,1;2;3,1;0;0,3;5;8,6;0;1;5
"Wijk 23 Lemmer";"De Fryske Marren                        ";"Wijk      ";"WK194023  ";"1";0,9;1,9;6,8;6,9;0,9;2,8;9,7;9,9;1,5;1;1;4
"Lemmer-Buitengebied";"De Fryske Marren                        ";"Buurt     ";"BU19402301";"1";4,3;0;0,5;4,5;4,4;0;0,6;6;5,2;0,6;1,8;2,2
"Lemmer-Frieslandpark";"De Fryske Marren                        ";"Buurt     ";"BU19402302";"1";1,4;0;6,6;7;1,5;0;9,6;10;2,3;1;1;4
"Lemmer-Kom";"De Fryske Marren                        ";"Buurt     ";"BU19402303";"1";0,3;5;7;7;0,3;6,7;10;10;0,7;1;1;4
"Lemmer-Lemstervaart";"De Fryske Marren                        ";"Buurt     ";"BU19402304";"1";0,8;1,8;7;7;0,8;3,3;10;10;0,9;1;1;4
"Lemmer-Noord";"De Fryske Marren                        ";"Buurt     ";"BU19402305";"1";0,8;0,8;7;7;0,8;0,8;10;10;1,8;1;1;4
"Lemmer-Rienplan";"De Fryske Marren                        ";"Buurt     ";"BU19402306";"1";0,5;5,2;7;7;0,5;8,5;10;10;0,5;1;1;4
"Lemmer-West";"De Fryske Marren                        ";"Buurt     ";"BU19402307";"1";0,6;3,7;7;7;0,6;5,4;10;10;1;1;1;4
"Lemmer-Zijlroede";"De Fryske Marren                        ";"Buurt     ";"BU19402308";"1";1,5;0;6,8;7;1,6;0;9,8;10;2,4;1;1,5;4
"Wijk 24 Mirns";"De Fryske Marren                        ";"Wijk      ";"WK194024  ";"1";2;0;0,9;1;1,9;0;1,9;2,7;10;0;0,4;1,4
"Mirns";"De Fryske Marren                        ";"Buurt     ";"BU19402401";"1";2;0;0,9;1;1,9;0;1,9;2,7;10;0;0,4;1,4
"Wijk 25 Nijehaske";"De Fryske Marren                        ";"Wijk      ";"WK194025  ";"1";1,7;0;4,2;9;1,7;0;14,1;30,4;3,1;1;2;5
"Nijehaske";"De Fryske Marren                        ";"Buurt     ";"BU19402501";"1";1,7;0;4,2;9;1,7;0;14,1;30,4;3,1;1;2;5
"Wijk 26 Nijemirdum";"De Fryske Marren                        ";"Wijk      ";"WK194026  ";"1";6,3;0;0;0,1;3;0;1,3;3,3;6,1;0,1;1;2
"Nijemirdum";"De Fryske Marren                        ";"Buurt     ";"BU19402601";"1";6,3;0;0;0,1;3;0;1,3;3,3;6,1;0,1;1;2
"Wijk 27 Oldeouwer";"De Fryske Marren                        ";"Wijk      ";"WK194027  ";"1";5,1;0;0;0,2;5,2;0;0;0,2;7,5;0;1;3,4
"Oldeouwer";"De Fryske Marren                        ";"Buurt     ";"BU19402701";"1";5,1;0;0;0,2;5,2;0;0;0,2;7,5;0;1;3,4
"Wijk 28 Oosterzee";"De Fryske Marren                        ";"Wijk      ";"WK194028  ";"1";3,6;0;0,2;2,1;5,8;0;0,3;2;5,8;0,2;1;4,9
"Oosterzee-Buitengebied";"De Fryske Marren                        ";"Buurt     ";"BU19402801";"1";3,8;0;0,6;4,2;5;0;0,7;5,5;5;0,6;1;4,8
"Oosterzee-Kom";"De Fryske Marren                        ";"Buurt     ";"BU19402802";"1";3,6;0;0;1;6,3;0;0;0;6,2;0;1;5
"Wijk 29 Oudega";"De Fryske Marren                        ";"Wijk      ";"WK194029  ";"1";6;0;0;0;6,3;0;0;0;6,4;0;1;2
"Oudega";"De Fryske Marren                        ";"Buurt     ";"BU19402901";"1";6;0;0;0;6,3;0;0;0;6,4;0;1;2
"Wijk 30 Oudehaske";"De Fryske Marren                        ";"Wijk      ";"WK194030  ";"1";0,8;0,8;1;7,5;0,8;0,8;1,2;21,8;4,8;0,7;2;6,1
"Oudehaske";"De Fryske Marren                        ";"Buurt     ";"BU19403001";"1";0,8;0,8;1;7,5;0,8;0,8;1,2;21,8;4,8;0,7;2;6,1
"Wijk 31 Oudemirdum";"De Fryske Marren                        ";"Wijk      ";"WK194031  ";"1";6,3;0;0;0,1;0,5;2,5;3;3,2;7;0;1;2
"Oudemirdum";"De Fryske Marren                        ";"Buurt     ";"BU19403101";"1";6,3;0;0;0,1;0,5;2,5;3;3,2;7;0;1;2
"Wijk 32 Ouwsterhaule";"De Fryske Marren                        ";"Wijk      ";"WK194032  ";"1";3,6;0;0;4,1;3,7;0;0;4,9;5,3;0,1;1,3;4
"Ouwsterhaule";"De Fryske Marren                        ";"Buurt     ";"BU19403201";"1";3,6;0;0;4,1;3,7;0;0;4,9;5,3;0,1;1,3;4
"Wijk 33 Ouwster-Nijega";"De Fryske Marren                        ";"Wijk      ";"WK194033  ";"1";4,3;0;0;1,3;4,5;0;0;1,3;6,3;0;1;4,1
"Ouwster-Nijega";"De Fryske Marren                        ";"Buurt     ";"BU19403301";"1";4,3;0;0;1,3;4,5;0;0;1,3;6,3;0;1;4,1
"Wijk 34 Rijs";"De Fryske Marren                        ";"Wijk      ";"WK194034  ";"1";2,9;0;0,6;1;2,5;0;1,7;4,9;7,6;0;1;2
"Rijs";"De Fryske Marren                        ";"Buurt     ";"BU19403401";"1";2,9;0;0,6;1;2,5;0;1,7;4,9;7,6;0;1;2
"Wijk 35 Rohel";"De Fryske Marren                        ";"Wijk      ";"WK194035  ";"1";3,1;0;0,4;1,2;3,3;0;0,3;1;8,1;0;1,4;4,1
"Rohel";"De Fryske Marren                        ";"Buurt     ";"BU19403501";"1";3,1;0;0,4;1,2;3,3;0;0,3;1;8,1;0;1,4;4,1
"Wijk 36 Rotstergaast";"De Fryske Marren                        ";"Wijk      ";"WK194036  ";"1";5,2;0;0;1,4;5,1;0;0;2,5;7;0;0,9;4
"Rotstergaast";"De Fryske Marren                        ";"Buurt     ";"BU19403601";"1";5,2;0;0;1,4;5,1;0;0;2,5;7;0;0,9;4
"Wijk 37 Rotsterhaule";"De Fryske Marren                        ";"Wijk      ";"WK194037  ";"1";1,1;0,5;1;1,3;1,2;0,5;0,9;1,3;7,7;0;1,9;4,7
"Rotsterhaule";"De Fryske Marren                        ";"Buurt     ";"BU19403701";"1";1,1;0,5;1;1,3;1,2;0,5;0,9;1,3;7,7;0;1,9;4,7
"Wijk 38 Rottum";"De Fryske Marren                        ";"Wijk      ";"WK194038  ";"1";3,2;0;0,8;9,4;3,1;0;1,4;26;4,4;1;1,8;4,9
"Rottum";"De Fryske Marren                        ";"Buurt     ";"BU19403801";"1";3,2;0;0,8;9,4;3,1;0;1,4;26;4,4;1;1,8;4,9
"Wijk 39 Ruigahuizen";"De Fryske Marren                        ";"Wijk      ";"WK194039  ";"1";2,2;0;2,9;3,1;2;0,1;5,9;6,2;2;1;1;2,4
"Ruigahuizen";"De Fryske Marren                        ";"Buurt     ";"BU19403901";"1";2,2;0;2,9;3,1;2;0,1;5,9;6,2;2;1;1;2,4
"Wijk 40 Scharsterbrug";"De Fryske Marren                        ";"Wijk      ";"WK194040  ";"1";2,9;0;1,6;7,9;2,8;0;3,4;16,7;3,4;1;1;5
"Scharsterbrug";"De Fryske Marren                        ";"Buurt     ";"BU19404001";"1";2,9;0;1,6;7,9;2,8;0;3,4;16,7;3,4;1;1;5
"Wijk 41 Sint Nicolaasga";"De Fryske Marren                        ";"Wijk      ";"WK194041  ";"1";0,7;0,8;1;1,2;0,7;1,9;3;3,4;7;0;1,1;5
"Sint Nicolaasga";"De Fryske Marren                        ";"Buurt     ";"BU19404101";"1";0,7;0,8;1;1,2;0,7;1,9;3;3,4;7;0;1,1;5
"Wijk 42 Sinjohannesga";"De Fryske Marren                        ";"Wijk      ";"WK194042  ";"1";0,9;0,8;1;2,3;0,8;0,8;1;2,4;7,1;0;2;5
"Sintjohannesga";"De Fryske Marren                        ";"Buurt     ";"BU19404201";"1";0,9;0,8;1;2,3;0,8;0,8;1;2,4;7,1;0;2;5
"Wijk 43 Sloten";"De Fryske Marren                        ";"Wijk      ";"WK194043  ";"1";0,5;1;1;1,6;0,5;1;1;2,8;5,5;0,1;1;3,5
"Sloten";"De Fryske Marren                        ";"Buurt     ";"BU19404301";"1";0,5;1;1;1,6;0,5;1;1;2,8;5,5;0,1;1;3,5
"Wijk 44 Snikzwaag";"De Fryske Marren                        ";"Wijk      ";"WK194044  ";"1";2,3;0;3,4;6,7;2,6;0;7,1;13,7;2,9;1;1;4,9
"Snikzwaag";"De Fryske Marren                        ";"Buurt     ";"BU19404401";"1";2,3;0;3,4;6,7;2,6;0;7,1;13,7;2,9;1;1;4,9
"Wijk 45 Sondel";"De Fryske Marren                        ";"Wijk      ";"WK194045  ";"1";4,3;0;0;2,9;4,1;0;0,1;5,7;4,5;0,7;1,8;2,8
"Sondel";"De Fryske Marren                        ";"Buurt     ";"BU19404501";"1";4,3;0;0;2,9;4,1;0;0,1;5,7;4,5;0,7;1,8;2,8
"Wijk 46 Terherne";"De Fryske Marren                        ";"Wijk      ";"WK194046  ";"1";0,5;0,9;1;1,1;5,3;0;0;0,7;9,9;0;0,6;4
"Terherne";"De Fryske Marren                        ";"Buurt     ";"BU19404601";"1";0,5;0,9;1;1,1;5,3;0;0;0,7;9,9;0;0,6;4
"Wijk 47 Terkaple";"De Fryske Marren                        ";"Wijk      ";"WK194047  ";"1";3,5;0;0,1;1;6;0;0;0;6,2;0;1;4
"Terkaple";"De Fryske Marren                        ";"Buurt     ";"BU19404701";"1";3,5;0;0,1;1;6;0;0;0;6,2;0;1;4
"Wijk 48 Teroele";"De Fryske Marren                        ";"Wijk      ";"WK194048  ";"1";4;0;0;1,4;4;0;0;3;11,3;0;0;4
"Teroele";"De Fryske Marren                        ";"Buurt     ";"BU19404801";"1";4;0;0;1,4;4;0;0;3;11,3;0;0;4
"Wijk 49 Tjerkgaast";"De Fryske Marren                        ";"Wijk      ";"WK194049  ";"1";2,8;0;0,7;1,3;2,8;0;0,7;2,3;8,3;0;1;4,2
"Tjerkgaast";"De Fryske Marren                        ";"Buurt     ";"BU19404901";"1";2,8;0;0,7;1,3;2,8;0;0,7;2,3;8,3;0;1;4,2
"Wijk 50 Vegelinsoord";"De Fryske Marren                        ";"Wijk      ";"WK194050  ";"1";5;0;0;0,9;5,1;0;0;0,9;7,7;0;1,8;3,4
"Vegelinsoord";"De Fryske Marren                        ";"Buurt     ";"BU19405001";"1";5;0;0;0,9;5,1;0;0;0,9;7,7;0;1,8;3,4
"Wijk 51 Wijckel";"De Fryske Marren                        ";"Wijk      ";"WK194051  ";"1";1,9;0,1;2,1;4;1,8;0,1;3,5;7;3;1;1,3;3,1
"Wijckel";"De Fryske Marren                        ";"Buurt     ";"BU19405101";"1";1,9;0,1;2,1;4;1,8;0,1;3,5;7;3;1;1,3;3,1
"Geertruidenberg";"Geertruidenberg                         ";"Gemeente  ";"GM0779    ";"1";0,9;1,2;4,2;5,5;0,7;3,7;14,5;18,2;1,7;1;2,9;13,2
"Wijk 00 Raamsdonksveer";"Geertruidenberg                         ";"Wijk      ";"WK077900  ";"1";0,6;1,8;4,6;5,2;0,6;5,2;16,1;18,3;1,1;1;3;13,2
"Raamsdonksveer";"Geertruidenberg                         ";"Buurt     ";"BU07790000";"1";0,6;2,4;4,8;5,3;0,5;7,5;16,5;18,6;0,7;1;3;13,4
"Hooipolder en De Hoeven";"Geertruidenberg                         ";"Buurt     ";"BU07790001";"1";0,6;1,1;4,4;5;0,6;2,5;15,6;18;1,6;1;3;13
"Industrieterrein Dombosch";"Geertruidenberg                         ";"Buurt     ";"BU07790002";"1";1,9;0;3,7;5,3;1,9;0;12,8;17,2;2,8;1;2,1;12,3
"Verspreide huizen Raamsdonksveer";"Geertruidenberg                         ";"Buurt     ";"BU07790009";"1";1,4;0,1;4,6;7,4;0,9;0,5;15,3;22,7;1,6;1;3;14,2
"Wijk 01 Raamsdonk";"Geertruidenberg                         ";"Wijk      ";"WK077901  ";"1";2,7;0;1,4;6,6;0,5;1,7;5,6;21,1;3,5;1;3,2;14,7
"Raamsdonk";"Geertruidenberg                         ";"Buurt     ";"BU07790100";"1";2,7;0;1,3;6,6;0,5;1,8;5,5;21,3;3,5;1;3,3;14,8
"Verspreide huizen Raamsdonk";"Geertruidenberg                         ";"Buurt     ";"BU07790109";"1";2,6;0;2;5,8;1,8;0,3;7,2;19,1;3,4;0,9;2,7;14,2
"Wijk 02 Geertruidenberg";"Geertruidenberg                         ";"Wijk      ";"WK077902  ";"1";0,8;0,6;4,5;5,6;0,9;1,9;14,6;17;2,2;1;2,5;12,6
"Geertruidenberg-Kom";"Geertruidenberg                         ";"Buurt     ";"BU07790200";"1";1,1;0,2;5;5,3;0,4;4;15,3;17,8;1,7;1;3;12,5
"Geertruidenberg-West";"Geertruidenberg                         ";"Buurt     ";"BU07790201";"1";0,3;1;4;6,4;1,1;0,5;14;16,5;2,7;1;2,1;13
"Geertruidenberg-Noord";"Geertruidenberg                         ";"Buurt     ";"BU07790202";"1";1;0,6;4,2;5;1,3;0,1;14,2;16,1;2,6;1;2,3;12
"Industrieterrein Dongeoever Amerkant";"Geertruidenberg                         ";"Buurt     ";"BU07790203";"1";1,8;0;5;5;1;0,5;15;16,4;2,1;1;3;12
"Verspreide huizen Geertruidenberg";"Geertruidenberg                         ";"Buurt     ";"BU07790209";"1";1,2;0,2;4,1;6,2;0,9;2,7;12,5;17,7;2,3;1;2,7;13,2
"Geldrop-Mierlo";"Geldrop-Mierlo                          ";"Gemeente  ";"GM1771    ";"1";0,8;1,3;6,5;12,1;0,8;3,4;16,6;29,2;1,4;1,8;9,2;22,1
"Geldrop";"Geldrop-Mierlo                          ";"Wijk      ";"WK177100  ";"3";0,8;1,1;7,2;12,8;0,8;3,3;20;30,6;1,5;1,7;10,4;22
"Centrum";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710000";"3";0,5;2,7;8;12,4;0,4;10,7;21;27,2;0,7;1,2;10,7;21,8
"Skandia";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710001";"3";0,7;1,3;7,4;16,1;0,7;2,2;18,2;38,9;1,8;1,9;12;21,9
"Akert";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710002";"3";1,3;0,4;7,8;10,3;0,7;4,1;21,1;30,4;1;2;10;22
"Zesgehuchten";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710003";"3";0,9;0,6;7,2;18,1;1;0,4;18,5;44;1,9;1,6;11,9;22
"Braakhuizen-Noord";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710004";"3";0,8;0,7;7;13,5;0,5;1;20,8;27,4;1,8;2;10,6;22,9
"Braakhuizen-Zuid";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710005";"3";1,2;0,7;7,7;12,2;0,9;3,8;21;28;1,2;2;10,1;22,1
"Coevering";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710006";"3";0,7;1,7;7,2;9,4;0,6;5,6;20,8;23,5;1,6;1,3;8,4;21,6
"Genoenhuis";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710007";"3";0,7;0,8;6,1;10,8;1,6;0;18,6;27,9;1,9;1,5;10,5;22
"Buitengebied Geldrop-Oost";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710008";"3";;;;;;;;;;;;
"Buitengebied Geldrop- West";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710009";"3";1,5;0,1;2,5;10,1;2,3;0;5,4;25,3;3;1;9,6;20,9
"Mierlo";"Geldrop-Mierlo                          ";"Wijk      ";"WK177101  ";"3";0,9;1,8;4,7;10,3;0,8;3,8;7,8;25,7;1,1;2,1;6,2;22,2
"Mierlo-Dorp";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710110";"3";0,4;2,9;6,1;10,5;0,4;5,7;9,5;29,1;0,6;2,1;6;22
"Neerakkers";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710111";"3";0,9;1,7;4,6;9,6;0,8;3,8;7,3;23,4;1,1;2;6;22
"Kerkakkers";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710112";"3";0,8;2,4;4,1;11,2;0,6;5;7;27,4;0,9;2,3;6,2;22
"Luchen";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710113";"3";1;0,4;4,1;9,9;1,5;0,3;7,4;23,3;1,6;2,2;6,3;22,9
"Buitengebied Mierlo";"Geldrop-Mierlo                          ";"Buurt     ";"BU17710114";"3";1,9;0;4,3;10,6;1,8;0;8,8;24,6;2,2;2,1;7;22,6
"Gemert-Bakel";"Gemert-Bakel                            ";"Gemeente  ";"GM1652    ";"1";1,8;1,1;2,9;3,8;1,2;3,3;8,5;12,2;3,7;0,8;2,8;12,2
"Wijk 00 Gemert-Centrum";"Gemert-Bakel                            ";"Wijk      ";"WK165200  ";"1";0,5;2,5;4;4,6;0,5;7,7;13;16,6;1,2;1,1;3;12,9
"Gemert-Centrum";"Gemert-Bakel                            ";"Buurt     ";"BU16520000";"1";0,5;2,7;4;4,5;0,4;8,3;13;16,4;1,1;1,1;3;12,9
"Verspreide huizen Broekkant";"Gemert-Bakel                            ";"Buurt     ";"BU16520008";"1";1,5;0,1;3,8;5,5;1,5;0,2;12,6;18,9;2,4;1,5;3,2;13,5
"Wijk 01 Gemert-Noord";"Gemert-Bakel                            ";"Wijk      ";"WK165201  ";"1";0,8;1,5;3,9;4,1;0,7;4,7;13,4;15,2;1,2;1,1;3;12,5
"Gemert-Noord";"Gemert-Bakel                            ";"Buurt     ";"BU16520101";"1";0,5;2,1;4;4;0,5;6,9;13,4;15;0,9;1;3;12,6
"Doonheide";"Gemert-Bakel                            ";"Buurt     ";"BU16520104";"1";1,2;0,3;4;4,1;1,1;0,4;14;15,3;1,8;1,2;3;12
"Verspreide huizen Kampen-Esdonk";"Gemert-Bakel                            ";"Buurt     ";"BU16520107";"1";1,5;0,3;3,6;4,7;1,5;0,6;12,3;16,1;1,9;1,6;3;12,5
"Wijk 02 Gemert-Oost";"Gemert-Bakel                            ";"Wijk      ";"WK165202  ";"1";1,4;0,4;3,9;4;0,8;3,3;13,5;15;1,9;1;3;12,5
"Gemert-Oost";"Gemert-Bakel                            ";"Buurt     ";"BU16520202";"1";1,3;0,4;4;4;0,8;3,5;13,8;15;1,8;1;3;12,5
"Industrieterrein Scheiweg";"Gemert-Bakel                            ";"Buurt     ";"BU16520203";"1";2,2;0;3,7;4;1,7;0;14,2;15,1;2,6;1;3;12
"Verspreide huizen Rooije Hoef";"Gemert-Bakel                            ";"Buurt     ";"BU16520209";"1";3,2;0;1,1;3,8;1,2;0,4;6,5;15,1;3,7;0,9;2,9;12,4
"Wijk 03 Handel";"Gemert-Bakel                            ";"Wijk      ";"WK165203  ";"1";3,6;0;0,2;5,6;0,8;0,7;2,5;18,7;3,9;1,8;2,9;11,3
"Handel";"Gemert-Bakel                            ";"Buurt     ";"BU16520300";"1";3,6;0;0;6,1;0,6;0,9;1,8;19,7;3,8;2;3;11,3
"Verspreide huizen Verreheide";"Gemert-Bakel                            ";"Buurt     ";"BU16520308";"1";2,6;0;2,1;5,5;1,4;0,3;8,1;17,7;3,1;1,7;2,9;11,9
"Verspreide huizen Heereveld";"Gemert-Bakel                            ";"Buurt     ";"BU16520309";"1";4,4;0;0;3,3;1,4;0,2;2;14,2;4,6;0,9;2,4;10,9
"Wijk 04 De Mortel";"Gemert-Bakel                            ";"Wijk      ";"WK165204  ";"1";3,4;0;0,4;4,1;3,1;0;1,1;14;4,3;0,9;3;12,3
"De Mortel";"Gemert-Bakel                            ";"Buurt     ";"BU16520400";"1";3,1;0;0,4;4,2;3,1;0;0,8;14,8;4;1;3,1;12
"Verspreide huizen Milschot-Tereyken";"Gemert-Bakel                            ";"Buurt     ";"BU16520408";"1";3,2;0;0,6;4,7;3,2;0;1,9;15,1;4,1;1;3,4;13,1
"Verspreide huizen Mortelse Peel";"Gemert-Bakel                            ";"Buurt     ";"BU16520409";"1";4;0;0,1;3,5;3,2;0;1,1;12;4,8;0,6;2,6;12,2
"Wijk 05 Elsendorp";"Gemert-Bakel                            ";"Wijk      ";"WK165205  ";"1";5,2;0;0;0,5;1;0,6;1,1;2,8;7,6;0;1,9;9,9
"Elsendorp";"Gemert-Bakel                            ";"Buurt     ";"BU16520500";"1";5;0;0;0,5;0,4;1;1;3;7,5;0;2;10
"Verspreide huizen Elsendorp";"Gemert-Bakel                            ";"Buurt     ";"BU16520509";"1";5,3;0;0;0,5;1,6;0,3;1,2;2,7;7,6;0;1,9;9,8
"Wijk 06 Bakel";"Gemert-Bakel                            ";"Wijk      ";"WK165206  ";"1";0,9;1,7;3;3,5;0,9;2,6;4,2;6,5;6,9;0;3,3;12,7
"Bakel";"Gemert-Bakel                            ";"Buurt     ";"BU16520600";"1";0,5;2,3;3;3;0,5;3,4;4,1;5;7;0;3,2;12,6
"Verspreide huizen Grotelse Heide en Esp";"Gemert-Bakel                            ";"Buurt     ";"BU16520608";"1";2,3;0,1;2,7;4,4;2,2;0,1;4,4;9,8;7;0;3,9;13,3
"Verspr.h. ten zuidwesten van Bakel";"Gemert-Bakel                            ";"Buurt     ";"BU16520609";"1";1,1;0,6;3;5;0,9;1,7;4,3;10,2;6,2;0;3,1;12,3
"Wijk 07 Milheeze";"Gemert-Bakel                            ";"Wijk      ";"WK165207  ";"1";2,9;0;1,6;3;3;0;1,8;7,2;5,8;0;1,1;10,9
"Milheeze";"Gemert-Bakel                            ";"Buurt     ";"BU16520700";"1";2,7;0;2;3;2,9;0;2,1;6,9;5,7;0;1;11
"Verspreide huizen Groote Peel";"Gemert-Bakel                            ";"Buurt     ";"BU16520708";"1";4,7;0;0;2,3;4,3;0;0,3;7,2;6;0,2;1;10
"Verspreide huizen Milheeze";"Gemert-Bakel                            ";"Buurt     ";"BU16520709";"1";2,6;0;1,6;3,3;2,8;0;1,8;7,9;6;0,1;1,3;11,1
"Wijk 08 De Rips";"Gemert-Bakel                            ";"Wijk      ";"WK165208  ";"1";8,1;0;0;0;5,7;0;0;0,1;11;0;0;8,8
"De Rips";"Gemert-Bakel                            ";"Buurt     ";"BU16520800";"1";8;0;0;0;5,3;0;0;0,1;11;0;0;9
"Verspreide huizen Rips";"Gemert-Bakel                            ";"Buurt     ";"BU16520809";"1";8,4;0;0;0;6,6;0;0;0,1;11,1;0;0,1;8,4
"Gennep";"Gennep                                  ";"Gemeente  ";"GM0907    ";"1";1,2;1,5;4,5;7,8;1,2;3,6;10,1;14,9;2,3;0,9;2,8;7,8
