"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)"
"Verspreide huizen IJzerlo";"Aalten                                  ";"Buurt     ";"BU01970104";"1";4,4;0;0,1;1,8;17,1;4,3;17,1;0;0;1,8;17,1;0;0;1;;;;;
"IJzerlo-kern";"Aalten                                  ";"Buurt     ";"BU01970105";"1";5,3;0;0;0;17,2;5,2;17,2;0;0;1,2;17,2;0;0;1;;;;;
"Lintelo-kern";"Aalten                                  ";"Buurt     ";"BU01970106";"1";5,3;0;0;0,1;16,1;5,4;16,1;0;0;4;16,1;0;0;2;;;;;
"Verspreide huizen ten westen van Aalten";"Aalten                                  ";"Buurt     ";"BU01970107";"1";2,6;0;2,3;4;14;2,9;14;0;0;2,1;14;0;0;1;;;;;
"Verspreide huizen Lintelo";"Aalten                                  ";"Buurt     ";"BU01970108";"1";5;0;0;1,3;16,3;5,2;16;0;0;3,7;16,3;0;0;1,7;;;;;
"Verspreide huizen Dalese Veld";"Aalten                                  ";"Buurt     ";"BU01970109";"1";4,2;0;0;3;13,8;4,3;13,3;0;0;3,8;13,8;0;0;1,2;;;;;
"Verspreide huizen Dale";"Aalten                                  ";"Buurt     ";"BU01970110";"1";2,3;0;2,8;4;12,2;2,2;12,2;0;0;2,2;12,2;0;0;1;;;;;
"Verspreide huizen Haart";"Aalten                                  ";"Buurt     ";"BU01970111";"1";3,5;0;1,2;3,2;9,7;3,7;9,7;0;0,6;2;9,7;0;0,6;1;;;;;
"Haart-kern";"Aalten                                  ";"Buurt     ";"BU01970112";"1";4,8;0;0;1,3;7,6;5,1;7,6;0;1;2;7,6;0;1;1;;;;;
"Wijk 02 Bredevoort";"Aalten                                  ";"Wijk      ";"WK019702  ";"1";3,3;0;0,5;3,8;8,5;3,5;8,5;0;1;2,1;8,5;0;1;1;;;;;
"Verspreide huizen Bredevoort";"Aalten                                  ";"Buurt     ";"BU01970201";"1";4,3;0;0;2,6;8,3;4,5;8,3;0;1;3,3;8,3;0;1;1;;;;;
"Verspreide huizen Hollenberg";"Aalten                                  ";"Buurt     ";"BU01970202";"1";2,1;0;3,3;4;9,6;2,2;9,6;0;0,9;2;9,6;0;0,9;1;;;;;
"Verspreide huizen Het Zwanenbroek";"Aalten                                  ";"Buurt     ";"BU01970203";"1";3,6;0;0,2;3,7;8,4;3,8;8,4;0;1;2;8,4;0;1;1;;;;;
"Bredevoort";"Aalten                                  ";"Buurt     ";"BU01970204";"1";3,3;0;0,3;4;8,4;3,5;8,4;0;1;2;8,4;0;1;1;;;;;
"Wijk 03 Aalten Kern";"Aalten                                  ";"Wijk      ";"WK019703  ";"1";0,8;1,5;4;4;12;0,9;12;0;0;2;12;0;0;1;;;;;
"Aalten-kern West";"Aalten                                  ";"Buurt     ";"BU01970301";"1";0,9;0,8;4;4;12,4;1,2;12,4;0;0;2;12,4;0;0;1;;;;;
"Aalten-kern Zuid 1";"Aalten                                  ";"Buurt     ";"BU01970302";"1";0,8;1,5;4;4;12,4;0,8;12,4;0;0;2;12,4;0;0;1;;;;;
"Aalten-kern Zuid 2";"Aalten                                  ";"Buurt     ";"BU01970303";"1";1,3;0;4;4;12,4;1,3;12,4;0;0;2;12,4;0;0;1;;;;;
"Aalten-kern Noord/Noordoost";"Aalten                                  ";"Buurt     ";"BU01970304";"1";0,7;1,7;4;4;11,2;0,8;11,2;0;0;2;11,2;0;0;1;;;;;
"Aalten Kern 't Kobus";"Aalten                                  ";"Buurt     ";"BU01970305";"1";1,7;0;4;4;13,1;2;13,1;0;0;2;13,1;0;0;1;;;;;
"Aalten-kern Oost";"Aalten                                  ";"Buurt     ";"BU01970306";"1";0,7;2,6;4;4;11,6;0,8;11,6;0;0;2;11,6;0;0;1;;;;;
"Aalten-kern Centrum";"Aalten                                  ";"Buurt     ";"BU01970307";"1";0,4;3,2;4;4;11,7;0,5;11,7;0;0;2;11,7;0;0;1;;;;;
"Wijk 04 Dinxperlo";"Aalten                                  ";"Wijk      ";"WK019704  ";"1";1;1,2;1,8;2;20,4;1,1;17,7;0;0;1,1;20,4;0;0;0,1;;;;;
"Dinxperlo Centrum/Oost";"Aalten                                  ";"Buurt     ";"BU01970400";"1";0,6;1,4;2;2;20,8;0,5;18,1;0;0;1;20,9;0;0;0;;;;;
"Dinxperlo Noord";"Aalten                                  ";"Buurt     ";"BU01970401";"1";0,7;1,5;2;2;20,3;0,8;17,5;0;0;1,1;20,4;0;0;0,1;;;;;
"Dinxperlo West";"Aalten                                  ";"Buurt     ";"BU01970402";"1";0,6;1,5;2;2;20,3;0,8;17,5;0;0;1;20,4;0;0;0;;;;;
"De Heurne-kern";"Aalten                                  ";"Buurt     ";"BU01970403";"1";3,2;0;0,2;2;19,8;3,5;17,5;0;0;1,8;19,8;0;0;0,8;;;;;
"Verspreide huizen Dinxperlo";"Aalten                                  ";"Buurt     ";"BU01970408";"1";1,5;0,2;2;2;20,1;1,6;17,9;0;0;1,3;20,2;0;0;0,3;;;;;
"Verspreide huizen De Heurne";"Aalten                                  ";"Buurt     ";"BU01970409";"1";3,8;0;0,5;1,5;19,2;4,1;17,7;0;0;1,9;19,2;0;0;0,8;;;;;
"Achtkarspelen";"Achtkarspelen                           ";"Gemeente  ";"GM0059    ";"1";1,6;0,6;1,5;3,1;13,8;1,8;15,6;0;0;0,7;15,6;0;0;0,7;;;;;
"Wijk 00 Noord";"Achtkarspelen                           ";"Wijk      ";"WK005900  ";"1";1,5;0,5;1,3;2,7;15,2;1,7;19,4;0;0;0,4;19,4;0;0;0,4;;;;;
"Buitenpost";"Achtkarspelen                           ";"Buurt     ";"BU00590000";"1";0,9;0,6;1;2,3;15,4;1;21,1;0;0;0;21,1;0;0;0;;;;;
"Twijzel";"Achtkarspelen                           ";"Buurt     ";"BU00590001";"1";0,8;0,8;1,4;4,8;15,5;3;17,5;0;0;1;17,5;0;0;1;;;;;
"Kootstertille";"Achtkarspelen                           ";"Buurt     ";"BU00590002";"1";0,7;0,9;2,1;3,3;15,2;0,7;15,2;0;0;1;15,2;0;0;1;;;;;
"Twijzelerheide";"Achtkarspelen                           ";"Buurt     ";"BU00590003";"1";2,2;0;1,6;3,4;12,6;2,3;20,2;0;0;0,2;20,2;0;0;0,2;;;;;
"Gerkesklooster";"Achtkarspelen                           ";"Buurt     ";"BU00590004";"1";6;0;0;0;17,1;5,7;20,9;0;0;0;20,9;0;0;0;;;;;
"Verspreide huizen Buitenpost";"Achtkarspelen                           ";"Buurt     ";"BU00590005";"1";2,1;0,1;0,9;2,3;16,1;2,1;20,6;0;0;0,3;20,6;0;0;0,3;;;;;
"Verspreide huizen Twijzel";"Achtkarspelen                           ";"Buurt     ";"BU00590006";"1";1,8;0,2;1,5;4,1;14;3,6;18,9;0;0;0,9;18,9;0;0;0,9;;;;;
"Verspreide huizen Kootstertille";"Achtkarspelen                           ";"Buurt     ";"BU00590007";"1";1,6;0,1;1,9;3,2;16,2;2;16,4;0;0;1,1;16,4;0;0;1,1;;;;;
"Verspreide huizen Twijzelerheide";"Achtkarspelen                           ";"Buurt     ";"BU00590008";"1";2,5;0;0,9;3,3;13,8;3,5;19,6;0;0;0,8;19,6;0;0;0,8;;;;;
"Verspreide huizen Gerkesklooster";"Achtkarspelen                           ";"Buurt     ";"BU00590009";"1";5,9;0;0;0,4;18;5,7;21;0;0;0,3;21;0;0;0,3;;;;;
"Wijk 01 Centrum";"Achtkarspelen                           ";"Wijk      ";"WK005901  ";"1";2,7;0,5;1,3;2,6;14,5;3,6;14,8;0;0;0,9;14,8;0;0;0,9;;;;;
"Stroobos";"Achtkarspelen                           ";"Buurt     ";"BU00590100";"1";6,5;0;0;0;16,5;6,2;20,5;0;0;0;20,5;0;0;0;;;;;
"Drogeham";"Achtkarspelen                           ";"Buurt     ";"BU00590102";"1";0,7;1;2,5;3,5;12,9;2,2;12,9;0;0;1;12,9;0;0;1;;;;;
"Augustinusga";"Achtkarspelen                           ";"Buurt     ";"BU00590103";"1";4,3;0;0;1,9;15,9;4,9;15,9;0;0;1;15,9;0;0;1;;;;;
"Verspreide huizen Stroobos";"Achtkarspelen                           ";"Buurt     ";"BU00590107";"1";7,2;0;0;0;17;7;19,5;0;0;1;19,5;0;0;1;;;;;
"Verspreide huizen Drogeham";"Achtkarspelen                           ";"Buurt     ";"BU00590108";"1";1,7;0,2;1,7;4,2;12,7;2,6;12,7;0;0;1;12,7;0;0;1;;;;;
"Verspreide huizen Augustinusga";"Achtkarspelen                           ";"Buurt     ";"BU00590109";"1";4,3;0;0,3;2,3;17,2;4,5;17,4;0;0;1;17,4;0;0;1;;;;;
"Wijk 02 Zuid";"Achtkarspelen                           ";"Wijk      ";"WK005902  ";"1";1,4;0,8;1,8;3,5;12,3;1,5;12,3;0;0,1;1;12,3;0;0,1;1;;;;;
"Surhuisterveen";"Achtkarspelen                           ";"Buurt     ";"BU00590200";"1";0,9;1,2;2,1;3;12,7;0,9;12,7;0;0;1;12,7;0;0;1;;;;;
"Harkema";"Achtkarspelen                           ";"Buurt     ";"BU00590201";"1";0,6;0,9;2,3;4,5;11,7;0,6;11,7;0;0;1;11,7;0;0;1;;;;;
"Surhuizum";"Achtkarspelen                           ";"Buurt     ";"BU00590202";"1";3,9;0;0,1;3;15,6;3,9;15,6;0;0;1;15,6;0;0;1;;;;;
"Boelenslaan";"Achtkarspelen                           ";"Buurt     ";"BU00590203";"1";3,9;0;0;3;9,5;3,9;9,5;0;1;1;9,5;0;1;1;;;;;
"Verspreide huizen Surhuisterveen";"Achtkarspelen                           ";"Buurt     ";"BU00590206";"1";2,2;0,4;1,8;2,8;11,6;2,2;11,6;0;0;1;11,6;0;0;1;;;;;
"Verspreide huizen Harkema";"Achtkarspelen                           ";"Buurt     ";"BU00590207";"1";1,8;0;1,6;4,9;11,4;1,8;11,4;0;0,4;1;11,4;0;0,4;1;;;;;
"Verspreide huizen Surhuizum";"Achtkarspelen                           ";"Buurt     ";"BU00590208";"1";3,8;0;0,8;2,1;15;3,8;15,5;0;0;1;15,5;0;0;1;;;;;
"Verspreide huizen Boelenslaan";"Achtkarspelen                           ";"Buurt     ";"BU00590209";"1";3,1;0;0,5;2,6;8,5;4,4;8,5;0;1;1;8,5;0;1;1;;;;;
"Alblasserdam";"Alblasserdam                            ";"Gemeente  ";"GM0482    ";"1";0,9;0,8;2,4;6;11,5;1;7,9;0;3,1;21,6;9,6;0;0,8;8,1;;;;;
"Wijk 01 Centrum";"Alblasserdam                            ";"Wijk      ";"WK048201  ";"1";0,7;1,3;2,1;7,8;11,3;1;7,3;0;3,4;21,6;8,9;0;1,1;8,1;;;;;
"Cortgene";"Alblasserdam                            ";"Buurt     ";"BU04820101";"1";0,7;1,2;2,3;7;11,8;0,8;7,6;0;3,7;22,3;9,2;0;1;8,4;;;;;
"Redersbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820102";"1";0,5;1,9;2;7,3;11,4;0,7;7,2;0;3;21,3;8,8;0;1;8;;;;;
"kerkbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820103";"1";0,8;1,4;2;7,5;11,1;1;7,5;0;3;21;9,1;0;1;8;;;;;
"Polderbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820104";"1";0,6;0,8;2,4;9,6;10,7;1,4;6,7;0;3,9;21;8,3;0;1,7;8;;;;;
"De Werven";"Alblasserdam                            ";"Buurt     ";"BU04820105";"1";0,7;1,1;2,1;8,3;11,4;1,2;7,2;0;3,7;22,1;8,8;0;1;8,1;;;;;
"Wijk 02 Kinderdijk";"Alblasserdam                            ";"Wijk      ";"WK048202  ";"1";1,4;0,1;3,1;4,2;11,3;1,7;8,3;0;2,4;23;10,5;0;0,1;9;;;;;
"Dijk";"Alblasserdam                            ";"Buurt     ";"BU04820201";"1";1,2;0,4;3,3;4,2;11;1,9;7,8;0;2,9;23,1;10,1;0;0,4;9;;;;;
"Vogelbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820202";"1";1,5;0;3,1;4;11,3;1,7;8,4;0;2;23;10,7;0;0;9;;;;;
"Waterland";"Alblasserdam                            ";"Buurt     ";"BU04820203";"1";1,1;0,3;3;5;11,9;1,1;8,6;0;3;23;10,2;0;0;9;;;;;
"Groene Long";"Alblasserdam                            ";"Buurt     ";"BU04820204";"1";1,4;0;3;6;11,8;1,5;7,9;0;4;23;9,5;0;1;9;;;;;
"Rivierenbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820205";"1";1,5;0;3;4;11,4;1,5;8,5;0;2,5;23;10,4;0;0;9;;;;;
"Nieuw Kinderdijk";"Alblasserdam                            ";"Buurt     ";"BU04820206";"1";1,5;0;3,1;4;11,2;1,9;8,3;0;2,2;23;10,5;0;0;9;;;;;
"Wijk 03 Blokweer";"Alblasserdam                            ";"Wijk      ";"WK048203  ";"1";0,6;1,1;2,3;5,4;11,9;0,6;8;0;3,3;21,8;9,6;0;0,9;8,1;;;;;
"Zeelt";"Alblasserdam                            ";"Buurt     ";"BU04820301";"1";0,7;1;2;4,4;12,2;0,7;8,4;0;2,8;21,7;10;0;0,5;8;;;;;
"Middelland";"Alblasserdam                            ";"Buurt     ";"BU04820302";"1";0,6;1;2;4,5;12;0,6;8,2;0;3,3;21,6;9,8;0;1;8;;;;;
"Blokweer Noord";"Alblasserdam                            ";"Buurt     ";"BU04820303";"1";1;0,5;2;4,3;11,9;1;8,2;0;2,9;20,4;9,8;0;0,9;7,4;;;;;
"Blokweer Zuid";"Alblasserdam                            ";"Buurt     ";"BU04820304";"1";0,7;1;2;5,2;11,6;0,7;7,8;0;3;20,6;9,4;0;1;7,4;;;;;
"Drentsebuurt";"Alblasserdam                            ";"Buurt     ";"BU04820305";"1";0,4;2;2;7,6;11,4;0,4;7,4;0;3;21,3;9;0;1;8;;;;;
"Florabuurt";"Alblasserdam                            ";"Buurt     ";"BU04820306";"1";0,3;1,1;2,2;6;11,7;0,3;7,8;0;3,7;22,3;9,4;0;1;8,3;;;;;
"Staatsliedenbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820307";"1";0,7;1;3;5,1;12,1;0,7;8,2;0;3,9;23;9,8;0;0,9;9;;;;;
"Wijk 04 Souburgh";"Alblasserdam                            ";"Wijk      ";"WK048204  ";"1";1,1;0,5;2,1;6,5;11,1;1,1;7,9;0;3,1;20;9,5;0;1,1;7;;;;;
"Schildersbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820401";"1";1,2;0;2;5,4;11,4;1,2;8,2;0;3;19;9,8;0;1;6;;;;;
"Schrijversbuurt";"Alblasserdam                            ";"Buurt     ";"BU04820402";"1";1;0,7;2;6,6;11;1;7,8;0;3;20,3;9,4;0;1;7,3;;;;;
"Klein Alblas";"Alblasserdam                            ";"Buurt     ";"BU04820403";"1";1,5;0;3;9,5;10,4;1,5;7,3;0;4,2;21,1;8,9;0;2,1;8;;;;;
"Oranjebuurt";"Alblasserdam                            ";"Buurt     ";"BU04820404";"1";0,8;1,4;2;6,5;11,2;0,8;7,7;0;3;21;9,3;0;1;8;;;;;
"Wijk 05 Bedrijventerrein";"Alblasserdam                            ";"Wijk      ";"WK048205  ";"1";1,1;0,8;2,1;11,8;10,6;2;6,3;0;4;21;7,9;0;2;8;;;;;
"Vinkenwaard";"Alblasserdam                            ";"Buurt     ";"BU04820501";"1";1;1;2,1;11,9;10,6;1,8;6,3;0;4,1;21;7,9;0;2;8;;;;;
"Hoogendijk";"Alblasserdam                            ";"Buurt     ";"BU04820502";"1";;;;;;;;;;;;;;;;;;;
"Nieuwland";"Alblasserdam                            ";"Buurt     ";"BU04820503";"1";2;0;2;11;10,6;2,9;6,4;0;4;21;8;0;2;8;;;;;
"Wijk 06 Landelijk gebied";"Alblasserdam                            ";"Wijk      ";"WK048206  ";"1";1,9;0;2,7;7,2;10,9;2;7,8;0;3,7;20,5;9,4;0;1,6;7,3;;;;;
"Polder Blokweer";"Alblasserdam                            ";"Buurt     ";"BU04820601";"1";;;;;;;;;;;;;;;;;;;
"Polder Kortland";"Alblasserdam                            ";"Buurt     ";"BU04820602";"1";2,1;0;2,6;4;11,8;2,1;8,7;0;1,8;18;10,3;0;0,2;6;;;;;
"Polder Souburgh";"Alblasserdam                            ";"Buurt     ";"BU04820603";"1";2,4;0;1,9;4;12;2,5;9;0;1,7;17,5;10,6;0;0,4;6,2;;;;;
"Polder Vinkenwaard";"Alblasserdam                            ";"Buurt     ";"BU04820604";"1";1,7;0;3;9,3;10,3;1,9;7,2;0;4,9;22;8,8;0;2,4;8;;;;;
"Albrandswaard";"Albrandswaard                           ";"Gemeente  ";"GM0613    ";"1";0,9;0,9;4,3;11,1;7,7;1,7;5,9;0,5;6;21,9;6,4;0,2;3,4;9,2;;;;;
"Wijk 01 Poortugaal-Noord";"Albrandswaard                           ";"Wijk      ";"WK061301  ";"1";1,2;0,1;6,5;9;6,8;1,3;6,8;0;3,4;22,4;6,8;0;2,4;9,4;;;;;
"Valckesteyn";"Albrandswaard                           ";"Buurt     ";"BU06130101";"1";1,2;0,1;6,6;9;6,7;1,2;6,7;0;3,2;22,4;6,7;0;2,2;9,4;;;;;
"Zwaardijk-Kruisdijk";"Albrandswaard                           ";"Buurt     ";"BU06130102";"1";1,1;0,5;6,5;9;6,9;1,1;6,9;0;4,3;22,2;6,9;0;3,2;9,1;;;;;
"Poortugaal";"Albrandswaard                           ";"Buurt     ";"BU06130103";"1";1,2;0;5;9;7,8;2,1;7,7;0;5,5;22,6;7,7;0;4;10;;;;;
"Buitengebied Poortugaal";"Albrandswaard                           ";"Buurt     ";"BU06130104";"1";1,8;0;4,8;9,1;8;2,4;7,7;0;5,9;22,4;7,7;0;4,5;10;;;;;
"Wijk 02 Rhoon-Noord";"Albrandswaard                           ";"Wijk      ";"WK061302  ";"1";0,9;0,8;4,7;9,6;8,2;2,5;7,3;0;6,7;23;7,3;0;4,2;9,7;;;;;
"Rhoon Noord";"Albrandswaard                           ";"Buurt     ";"BU06130205";"1";0,9;0,8;4,8;9,6;8,2;2,5;7,3;0;6,7;23;7,3;0;4,2;9,7;;;;;
"Buitengebied Rhoon-Noord";"Albrandswaard                           ";"Buurt     ";"BU06130207";"1";1,2;0,2;3,4;8,6;9,2;3,5;6,9;0;7,5;22,3;6,9;0;4,8;9,2;;;;;
"Wijk 03 Poortugaal-Zuid";"Albrandswaard                           ";"Wijk      ";"WK061303  ";"1";0,8;1,3;6;8,9;7;0,9;7;0;3;20,8;7;0;2;8,9;;;;;
"Beatrixstraat";"Albrandswaard                           ";"Buurt     ";"BU06130308";"1";0,4;2;7,8;9;6,2;0,5;6,2;0;3;21,6;6,2;0;2;8,9;;;;;
"Landweg";"Albrandswaard                           ";"Buurt     ";"BU06130309";"1";0,7;1,5;6;9;7;0,8;7;0;3;21,3;7;0;2;9;;;;;
"Poortugaal-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130310";"1";0,2;2;7,1;9;6,5;0,3;6,5;0;3;20,9;6,5;0;2;8,7;;;;;
"Poortugaal Zuid";"Albrandswaard                           ";"Buurt     ";"BU06130311";"1";1,1;0,8;5,5;8,8;7,4;1,2;7,4;0;3;20,4;7,4;0;2;9;;;;;
"Polder Albrandswaard";"Albrandswaard                           ";"Buurt     ";"BU06130312";"1";1,3;0,4;4;8,7;7,5;1,4;7,5;0;2,7;20;7,5;0;2;8,7;;;;;
"Kijvelanden";"Albrandswaard                           ";"Buurt     ";"BU06130313";"1";1,4;0,1;5;8,1;8,5;2,3;8;0;4,3;20,2;8,1;0;3,2;9;;;;;
"Wijk 04 Rhoon-Zuid";"Albrandswaard                           ";"Wijk      ";"WK061304  ";"1";0,9;1,4;3,7;9;9;3,2;7;0;7,2;21,7;7,1;0;4,5;9;;;;;
"Rhoon-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130414";"1";0,5;2,5;4,9;9,9;8,2;2,5;7,2;0;6,9;21,8;7,2;0;4,4;9;;;;;
"Ghijseland";"Albrandswaard                           ";"Buurt     ";"BU06130415";"1";0,8;1,7;3,1;9,5;9;3,3;6,6;0;8;22;6,7;0;5;9;;;;;
"Overhoeken";"Albrandswaard                           ";"Buurt     ";"BU06130416";"1";1,4;0;3;10,7;9,2;3,5;6,1;0;8,5;22,1;6,4;0;4,8;9;;;;;
"Park Rhoon";"Albrandswaard                           ";"Buurt     ";"BU06130417";"1";0,6;2,3;4,4;9,3;8,6;2,8;7,2;0;6,9;21,5;7,2;0;4,2;9;;;;;
"Rhoon-Zuidoost";"Albrandswaard                           ";"Buurt     ";"BU06130418";"1";1,5;0;3;8,1;9,7;4;6,8;0;7,6;22;7;0;4,6;9;;;;;
"Tijsjesdijk";"Albrandswaard                           ";"Buurt     ";"BU06130419";"1";0,9;1,2;3,4;8;9;3,1;7,3;0;6,1;21,1;7,4;0;4;9;;;;;
"Buitengebied Rhoon-Zuid";"Albrandswaard                           ";"Buurt     ";"BU06130420";"1";1,9;0;3;8,7;9,7;4,2;6,5;0;6,9;22;6,8;0;3,9;9;;;;;
"Wijk 05 Buitengebied Albrandswaard";"Albrandswaard                           ";"Wijk      ";"WK061305  ";"1";2,7;0;1,5;6,2;9,4;3,9;5,1;0,4;4,2;21,5;7,3;0;2,7;9,4;;;;;
"Portland-Koedoodzone";"Albrandswaard                           ";"Buurt     ";"BU06130521";"1";3,3;0,1;0,4;7,7;8,7;3,3;4,1;1,1;3,5;22,9;7;0,1;2,2;9,9;;;;;
"Buitengebied";"Albrandswaard                           ";"Buurt     ";"BU06130522";"1";2,7;0;1,6;6,2;9,4;3,9;5,1;0,4;4,2;21,5;7,3;0;2,7;9,4;;;;;
"Wijk 06 Portland";"Albrandswaard                           ";"Wijk      ";"WK061306  ";"1";0,9;0,6;2,6;16,3;7,2;0,9;3,2;1,7;8,4;22,6;4,7;0,7;4;9,6;;;;;
"Driehoek";"Albrandswaard                           ";"Buurt     ";"BU06130623";"1";0,6;1;2,2;19,3;7;0,6;3,6;2;9;21,1;4,4;1;4;9;;;;;
"Portland-Centrum";"Albrandswaard                           ";"Buurt     ";"BU06130624";"1";0,5;1;2;18,3;7,1;0,5;3,4;2;9;22,3;4,4;1;4;9,6;;;;;
"Wijkpark Portland";"Albrandswaard                           ";"Buurt     ";"BU06130625";"1";1,5;0;2,9;14,1;7,3;1,5;2,8;1,6;7,5;23,4;4,9;0,6;4;9,8;;;;;
"De Eilanden";"Albrandswaard                           ";"Buurt     ";"BU06130626";"1";1,4;0,2;3,1;13,2;7,4;1,4;2,8;1,4;7,6;23,8;5,2;0,4;4;10;;;;;
"Wijk 07 Rotterdam-Albrandswaard";"Albrandswaard                           ";"Wijk      ";"WK061307  ";"1";;;;;;;;;;;;;;;;;;;
"Distripark";"Albrandswaard                           ";"Buurt     ";"BU06130706";"1";;;;;;;;;;;;;;;;;;;
"Alkmaar";"Alkmaar                                 ";"Gemeente  ";"GM0361    ";"1";1;1,4;9;17,2;4;1,2;3,9;1,9;4;6,5;4,2;0,7;0,9;1,3;;;;;
"Zuid";"Alkmaar                                 ";"Wijk      ";"WK036101  ";"1";0,6;4,7;14,9;23;3,4;0,8;0,8;3;4,9;7;1,1;1;1;1,7;;;;;
"Kooimeer";"Alkmaar                                 ";"Buurt     ";"BU03610100";"1";0,4;2,4;12;23,9;4;1,1;0,6;3;4,8;7,9;1,6;1;1;2;;;;;
"Dillenburg en Stadhouderskwartier";"Alkmaar                                 ";"Buurt     ";"BU03610101";"1";0,4;6,2;13,8;23,7;3,6;0,7;0,9;3;5;7,1;1,3;1;1;2;;;;;
"Staatsliedenkwartier en Landstraten";"Alkmaar                                 ";"Buurt     ";"BU03610102";"1";0,8;2,6;16,8;21,1;2,9;0,7;1,2;3;5;6,6;1,2;1;1;1,5;;;;;
"Oud-Rochdale";"Alkmaar                                 ";"Buurt     ";"BU03610103";"1";0,6;9;15,5;24;3,3;0,5;1;3;5;7;1;1;1;2;;;;;
"Emmakwartier";"Alkmaar                                 ";"Buurt     ";"BU03610104";"1";0,6;8,1;15,5;22,9;3,4;0,4;0,7;3;5;6,6;0,7;1;1;1,6;;;;;
"Nassaukwartier en Hout";"Alkmaar                                 ";"Buurt     ";"BU03610105";"1";0,4;4,9;16,9;21,3;3;0,6;0,7;3;5;6,5;0,7;1;1;1,1;;;;;
"Oranjepark";"Alkmaar                                 ";"Buurt     ";"BU03610106";"1";0,7;5,2;13,7;25,2;4;1,1;0,8;3;4,3;7,1;1,1;1;1;2;;;;;
"Cranenbroek";"Alkmaar                                 ";"Buurt     ";"BU03610107";"1";0,7;1,4;14;22,2;3,5;0,9;0,9;3;4,8;6,3;0,9;1;1;1,3;;;;;
"Bloemwijk en Zocherkwartier";"Alkmaar                                 ";"Buurt     ";"BU03610108";"1";0,7;1,4;17,2;21;2,8;0,7;1,2;3;5;6,6;1,2;1;1;1;;;;;
"Burgemeesterskwartier";"Alkmaar                                 ";"Buurt     ";"BU03610109";"1";0,6;7,5;13,4;25,5;3,9;0,9;0,4;3;4,7;7,2;1;1;1;2;;;;;
"Oudorp";"Alkmaar                                 ";"Wijk      ";"WK036102  ";"1";0,9;1,2;8,2;22,6;2,4;1,1;3,3;2,5;4,3;6,3;3,3;1;1;1;;;;;
"Rekerbuurt en Ooievaarsnest";"Alkmaar                                 ";"Buurt     ";"BU03610200";"1";1,4;0,1;18,4;23;1,5;1,1;2,2;3;5;7;2,2;1;1;1;;;;;
"Oudorp-Noord en Oudorp-Oost";"Alkmaar                                 ";"Buurt     ";"BU03610201";"1";0,7;0,7;4,2;24,3;2,6;1,4;3,8;2;4;6,3;3,8;1;1;1;;;;;
